abstract,title
"  We will discuss the maximum entropy production (MaxEP) principle based on
Jaynes' information theoretical arguments, as was done by Dewar (2003, 2005).
With the help of a simple mathematical model of a non-equilibrium system, we
will show how to derive minimum and maximum entropy production. Furthermore,
the model will help us to clarify some confusing points and to see differences
between some MaxEP studies in the literature.
",A discussion on maximum entropy production and information theory
"  We present a model describing a single brane with tension embedded into a
five-dimensional space-time with compact extra dimension, which can be easily
stabilized. We examine the linearized gravity in the model and obtain an
expression for the four-dimensional Planck mass on the brane in terms of the
model parameters. It is also shown that the scalar sector of the effective
four-dimensional theory contain a tachyonic mode, and we discuss the problem of
stability of the model.
",Single-brane world with stabilized extra dimension
"  This is a review of the Riemann-Hilbert approach to the large $N$ asymptotics
in random matrix models and its applications. We discuss the following topics:
random matrix models and orthogonal polynomials, the Riemann-Hilbert approach
to the large $N$ asymptotics of orthogonal polynomials and its applications to
the problem of universality in random matrix models, the double scaling limits,
the large $N$ asymptotics of the partition function, and random matrix models
with external source.
",Lectures on random matrix models. The Riemann-Hilbert approach
"  Sequences whose terms are equal to the number of functions with specified
properties are considered. Properties are based on the notion of derangements
in a more general sense. Several sequences which generalize the standard notion
of derangements are thus obtained. These sequences generate a number of integer
sequences from the well-known Sloane's encyclopedia.
",Some integer sequences based on derangements
"  We propose an order index, phi, which quantifies the notion of ``life at the
edge of chaos'' when applied to genome sequences. It maps genomes to a number
from 0 (random and of infinite length) to 1 (fully ordered) and applies
regardless of sequence length. The 786 complete genomic sequences in GenBank
were found to have phi values in a very narrow range, 0.037+/-0.027. We show
this implies that genomes are halfway towards being completely random, namely,
at the edge of chaos. We argue that this narrow range represents the
neighborhood of a fixed-point in the space of sequences, and genomes are driven
there by the dynamics of a robust, predominantly neutral evolution process.
",Genomes: at the edge of chaos with maximum information capacity
"  We consider the role of the perturbative Pomeron-to-parton splitting in the
formation of the diffractive parton distributions.
",Diffractive parton distributions: the role of the perturbative Pomeron
"  Spectral diagnostic features formed in the solar chromosphere are few and
difficult to interpret -- they are neither formed in the optically thin regime
nor in local thermodynamic equilibrium (LTE). To probe the state of the
chromosphere, both from observations and theory, it is therefore necessary with
modeling. I discuss both traditional semi-empirical modeling, numerical
experiments illustrating important ingredients necessary for a self-consistent
theoretical modeling of the solar chromosphere and the first results of such
models.
",Modeling the Solar Chromosphere
"  We consider the transmission of a memoryless bivariate Gaussian source over
an average-power-constrained one-to-two Gaussian broadcast channel. The
transmitter observes the source and describes it to the two receivers by means
of an average-power-constrained signal. Each receiver observes the transmitted
signal corrupted by a different additive white Gaussian noise and wishes to
estimate the source component intended for it. That is, Receiver~1 wishes to
estimate the first source component and Receiver~2 wishes to estimate the
second source component. Our interest is in the pairs of expected squared-error
distortions that are simultaneously achievable at the two receivers.
  We prove that an uncoded transmission scheme that sends a linear combination
of the source components achieves the optimal power-versus-distortion trade-off
whenever the signal-to-noise ratio is below a certain threshold. The threshold
is a function of the source correlation and the distortion at the receiver with
the weaker noise.
",Broadcasting Correlated Gaussians
"  Traditional searches for SUSY at hadron colliders rely heavily on the
presence of large missing transverse energy (ME_T) to reject background
compared to signal. On the other hand, initial searches for new physics at the
LHC may not be able to rely on ME_T due to a variety of detector calibration
issues. We show that much of SUSY parameter space is accessible to discovery
even {\it without} using ME_T, and with rather low integrated luminosities
0.1-1 fb^{-1}. A key role is played by isolated lepton multiplicity which
arises from gluino and squark cascade decays. Requiring \ge 3 isolated leptons
plus jets yields a high rate of background rejection compared to signal. We
find an LHC reach in m(gluino) of about 700-750 GeV for just 0.1 fb^{-1} of
integrated luminosity by requiring events with \ge 4 jets plus \ge 3 isolated
leptons but {\it without} using ME_T. If a large enough event sample is
assembled, then kinematic reconstruction of sparticle mass properties should be
possible just as in the case where large ME_T is required. SUSY without ME_T
can also be seen in opposite-sign/same flavor {\it dilepton plus jets} events
when a characteristic invariant mass edge stands out against background.
","Early SUSY discovery at LHC without missing E_T: the role of
  multi-leptons"
"  In recent years, the proliferation of mobile computing devices has driven a
revolutionary change in the computing world. The nature of ubiquitous devices
makes wireless networks the easiest solution for their interconnection. This
has led to the rapid growth of several wireless systems like wireless ad hoc
networks, wireless sensor networks etc. In this paper we have proposed a
framework for rural development by providing various e-services to the rural
areas with the help of wireless ad hoc and sensor networks. We have discussed
how timely and accurate information could be collected from the rural areas
using wireless technologies. In addition to this, we have also mentioned the
technical and operational challenges that could hinder the implementation of
such a framework in the rural areas in the developing countries.
","A Framework for Providing E-Services to the Rural Areas using Wireless
  Ad Hoc and Sensor Networks"
"  We have performed an ecliptic imaging survey of the Kuiper belt with our
deepest and widest field achieving a limiting flux of m(g') = 26.4, with a sky
coverage of 3.0 square-degrees. This is the largest coverage of any other
Kuiper belt survey to this depth. We detect 72 objects, two of which have been
previously observed. We have improved the Bayesian maximum likelihood fitting
technique presented in Gladman et al. (1998) to account for calibration and sky
density variations and have used this to determine the luminosity function of
the Kuiper belt. Combining our detections with previous surveys, we find the
luminosity function is well represented by a single power-law with slope alpha
= 0.65 +/- 0.05 and an on ecliptic sky density of 1 object per square-degree
brighter than m(R)=23.42 +/- 0.13. Assuming constant albedos, this slope
suggests a differential size-distribution slope of 4.25 +/- 0.25, which is
steeper than the Dohnanyi slope of 3.5 expected if the belt is in a state of
collisional equilibrium. We find no evidence for a roll-over or knee in the
luminosity function and reject such models brightward of m(R) ~ 24.6.
",The Kuiper Belt Luminosity Function from m(R)=21 to 26
"  We prove a strong relation between Chern and log Chern invariants of
algebraic surfaces. For a given arrangement of curves, we find nonsingular
projective surfaces with Chern ratio arbitrarily close to the log Chern ratio
of the log surface defined by the arrangement. Our method is based on sequences
of random p-th root covers, which exploit a certain large scale behavior of
Dedekind sums and lengths of continued fractions. We show that randomness is
necessary for our asymptotic result, providing another instance of ""randomness
implies optimal"". As an application over the complex numbers, we construct
nonsingular simply connected projective surfaces of general type with large
Chern ratio. In particular, we improve the Persson-Peters-Xiao record for Chern
ratios of such surfaces.
",Arrangements of curves and algebraic surfaces
"  In this paper, we study inverse scattering of massless Dirac fields that
propagate in the exterior region of a Reissner-Nordstr\""om black hole. Using a
stationary approach we determine precisely the leading terms of the high-energy
asymptotic expansion of the scattering matrix that, in turn, permit us to
recover uniquely the mass of the black hole and its charge up to a sign.
","Recovering the mass and the charge of a Reissner-Nordstr\""om black hole
  by an inverse scattering experiment"
"  We establish the Lagrangian nature of the discrete isospectral and
isomonodromic dynamical systems corresponding to the re-factorization
transformations of the rational matrix functions on the Riemann sphere.
Specifically, in the isospectral case we generalize the Moser-Veselov approach
to integrability of discrete systems via the re-factorization of matrix
polynomials to a more general class of matrix rational functions that have a
simple divisor and, in the quadratic case, explicitly write the Lagrangian
function for such systems. Next we show that if we let certain parameters in
this Lagrangian to be time-dependent, the resulting Euler-Lagrange equations
describe the isomonodromic transformations of systems of linear difference
equations. It is known that in some special cases such equations reduce to the
difference Painlev\'e equation. As an example, we show how to obtain the
difference Painlev\`e V equation in this way, and hence we establish that this
equation can be written in the Lagrangian form.
","On the Lagrangian Structure of the Discrete Isospectral and
  Isomonodromic Transformations"
"  We consider a toy model of the interaction of a qubit with an exotic
space-time containing a time-like curve. Consistency seems to require that the
global evolution of the qubit be non-unitary. Given that quantum mechanics is
globally unitary, this then is an example of a quantum gravity information
paradox. However, we show that a careful analysis of the problem in the
Heisenberg picture reveals an underlying unitarity, thus resolving the paradox.
",Unitary Solution to a Quantum Gravity Information Paradox
"  We study the space of conformal immersions of a 2-torus into the 4-sphere.
The moduli space of generalized Darboux transforms of such an immersed torus
has the structure of a Riemann surface, the spectral curve. This Riemann
surface arises as the zero locus of the determinant of a holomorphic family of
Dirac type operators parameterized over the complexified dual torus. The kernel
line bundle of this family over the spectral curve describes the generalized
Darboux transforms of the conformally immersed torus. If the spectral curve has
finite genus the kernel bundle can be extended to the compactification of the
spectral curve and we obtain a linear 2-torus worth of algebraic curves in
projective 3-space. The original conformal immersion of the 2-torus is
recovered as the orbit under this family of the point at infinity on the
spectral curve projected to the 4-sphere via the twistor fibration.
",Conformal maps from a 2-torus to the 4-sphere
"  We study the limit behaviour of solutions of a class of solutions of
nonlinear parabolic equations with a degenerate strong absorption. We prove
that two types of phenomena can occur: the pointwise singularity or the
formation of razor blades (or persistent singularities).
","Singular solutions of some nonlinear parabolic equations with spatially
  inhomogeneous absorption"
"  We use high-signal-to-noise ($\sim$150-450), high resolution
($R{\sim}45,000$) Keck HIRES spectroscopy of 13 candidate post T Tauri stars to
derive basic physical parameters, lithium abundances and radial velocities. We
place our stars in the M$_v$-T$_{eff}$ plane for use in determining approximate
ages from pre-main sequence isochrones, and confirm these using three relative
age indicators in our analysis: Li abundances, chromospheric emission and the
kinematic {\it U-V} plane. Using the three age criteria we identify 5 stars
(HIP 54529, HIP 62758, HIP 63322, HIP 74045, and HIP 104864) as probable post T
Tauri stars with ages between 10 and 100 Myr. We confirm HIP 54529 as an SB2
and HIP 63322 as an SB1 star. We also examine irregular photometric variability
of PTTs using the {\it HIPPARCOS} photometry annex. Two of our PTT stars
exhibit near-IR excesses compared to Kurucz model flux; while recent work
suggests classical T Tauri stars evince similar {\it JHK} excesses presumably
indicative of non-photospheric (disk) emission, our results may be illusory
artifacts of the chosen {\it I}-band normalization. Near-IR excesses we see in
a literature-based sample of PTTs appear to be artifacts of previous spectral
type-based $T_{\rm eff}$ values. Indeed, comparison of the homology of their
observed and model photospheric SED's suggests that photometric temperatures
are more reliable than temperatures based on spectral standards for the cooler
temperature ranges of the stars in this sample. We conclude that our age
oriented analysis is a robust means to select samples of nearby, young,
isolated post T Tauri stars that otherwise masquerade as normal field stars.
",Keck Hires Spectroscopy of Candidate Post T Tauri Stars
"  We report here the results of scanning tunneling spectroscopic experiments
performed on hole doped NdBa$_2$Cu$_3$O$_{7-\delta}$ single crystals of $T_c$
values of 76 K, 93.5 K and 95.5 K. The energy gaps are observed to be
increasing with decreasing $T_c$ values. The coherence peaks are asymmetric
with the peaks at the filled states being larger than those at the empty ones.
The asymmetry increases with decreasing $T_c$. The observed asymmetry and its
$T_c$ dependence can be explained by considering the Mott insulating nature of
the material at the undoped state.
","$T_c$ Dependence of Energy Gap and Asymmetry of Coherence Peaks in
  NdBa$_2$Cu$_3$O$_{7-\delta}$"
"  Various parameters of a trapped collection of cold and ultracold atoms can be
determined non--destructively by measuring the phase shift of an off--resonant
probe beam, caused by the state dependent index of refraction of the atoms. The
dispersive light--atom interaction, however, gives rise to a differential light
shift (AC Stark shift) between the atomic states which, for a nonuniform probe
intensity distribution, causes an inhomogeneous dephasing between the atoms. In
this paper, we investigate the effects of this inhomogeneous light shift in
non--destructive measurement schemes. We interpret our experimental data on
dispersively probed Rabi oscillations and Ramsey fringes in terms of a simple
light shift model which is shown to describe the observed behavior well.
Furthermore, we show that by using spin echo techniques, the inhomogeneous
phase shift distribution between the two clock levels can be reversed.
","Inhomogeneous Light Shift Effects on Atomic Quantum State Evolution in
  Non-Destructive Measurements"
"  We construct vector bundles $R^r_\mu$ on a smooth projective curve $X$ having
the property that for all sheaves $E$ of slope $\mu$ and rank $r$ on $X$ we
have an equivalence: $E$ is a semistable vector bundle $\iff$
$Hom(R^r_\mu,E)=0$.
  As a byproduct of our construction we obtain effective bounds on $r$ such
that the linear system $|R \cdot \Theta|$ has base points on the moduli space
$U_X(r,r(g-1))$.
",Raynaud vector bundles
"  We consider a ubiquitous scenario where a fluctuating, semipermeable vesicle
is embedded in solution while enclosing a fixed number of solute particles. The
swelling with increasing number of particles or decreasing concentration of the
outer solution exhibits a continuous phase transition from a fluctuating state
to the maximum-volume configuration, whereupon appreciable pressure difference
and surface tension build up. This criticality is unique to
particle-encapsulating vesicles, whose volume and inner pressure both
fluctuate. It implies a universal swelling behavior of such vesicles as they
approach their limiting volume and osmotic lysis.
",Critical swelling of particle-encapsulating vesicles
"  In microwaves, a TE-polarized rectangular-waveguide resonator with an
inserted thin ferrite disk gives an example of a nonintegrable system. The
interplay of reflection and transmission at the disk interfaces together with
the material gyrotropy effect gives rise to whirlpool-like electromagnetic
vortices in the proximity of the ferromagnetic resonance. Based on numerical
simulation, we show that a character of microwave vortices in a cavity can be
analyzed by means of consideration of equivalent magnetic currents. Maxwell
equations allows introduction of a magnetic current as a source of the
electromagnetic field. Specifically, we found that in such nonintegrable
structures, magnetic gyrotropy and geometrical factors leads to the effect of
symmetry breaking resulting in effective chiral magnetic currents and
topological magnetic charges. As an intriguing fact, one can observe precessing
behavior of the electric-dipole polarization inside a ferrite disk.
","Effective chiral magnetic currents, topological magnetic charges, and
  microwave vortices in a cavity with an enclosed ferrite disk"
"  In this report, we consider maximal solutions to the induced bounded-degree
subgraph problem and relate it to issues concerning stream control in
multiple-input multiple-output (MIMO) networks. We present a new distributed
algorithm that completes in logarithmic time with high probability and is
guaranteed to complete in linear time. We conclude the report with simulation
results that address the effectiveness of stream control and the relative
impact of receiver overloading and flexible interference suppression.
","The Induced Bounded-Degree Subgraph Problem and Stream Control in MIMO
  Networks"
"  We calculate n alpha phase-shifts and scattering observables in the
resonating-group method, using the nuclear-matter G-matrix of an SU_6
quark-model NN interaction. The G-matrix is generated in the recent
energy-independent procedure of the quark-model NN interaction with the
continuous prescription for intermediate spectra, by assuming an appropriate
Fermi momentum k_F=1.2 fm^-1. The n alpha RGM interaction kernels are evaluated
with explicit treatments of the nonlocality and momentum dependence of
partial-wave G-matrix components. The momentum dependence of the G-matrix
components is different for each of the nucleon-exchange and interaction types.
Without introducing any artificial parameters except for k_F, the central and
spin-orbit components of the n alpha Born kernel are found to have reasonable
strengths under the assumption of a rigid translationally invariant shell-model
wave function of the alpha-cluster. The characteristic behaviors of three
different exchange terms, corresponding to knockout, heavy-particle pickup and
nucleon-rearrangement processes, are essentially the same between the case of
previous local effective NN forces and the case of nonlocal G-matrix NN
interactions.
","n alpha Resonating-Group Calculation with a Quark-Model G-Matrix NN
  Interaction"
"  We use reproducing kernel methods to study various rigidity problems. The
methods and setting allow us to also consider the non-positive case.
","Rigidity, boundary interpolation and reproducing kernels"
"  Directed flow $v_1$ treated as an effect of the transient matter rotation in
hadronic and nuclei reactions.
",Directed flow and rotation of transient matter
"  A model of dense plasmas relying on the superconfiguration approximation is
presented. In each superconfiguration the nucleus is totally screened by the
electrons in a Wigner-Seitz sphere (ion-sphere model). Superconfigurations of
the same charge are grouped into ions. It is shown that boundary values of the
wavefunctions play a crucial role in the form of the Virial theorem from which
the pressure formula is derived. Finally, a condition is presented and
discussed, which makes the ion-sphere model variational when bound electrons
are treated quantum-mechanically and free electrons quasi-classically.
","A model of dense-plasma atomic structure for equation-of-state
  calculations"
"  We study the noncommutative inflation with a time-dependent noncommutativity
between space and time. From the numerical analysis of power law inflation,
there are clues that the CMB spectrum indicates a nonconstant noncommutative
inflation. Then we extend our treatment to the inflation models with more
general noncommutativity and find that the scalar perturbation power spectrum
depends sensitively on the time varying of the spacetime noncommutativity. This
stringy effect may be probed in the future cosmological observations.
",Generalized Space-time Noncommutative Inflation
"  We study whether the broad enhancement X(1576) arises from the final state
interaction (FSI) of $\rho(1450,1700)\to \rho^+\rho^-\to K^{+}K^{-}$ decays. We
consider both the absorptive and dispersive contribution of the above
amplitudes since the intermediate states are very close to $\rho(1450,1700)$.
The same mechanism leads to a similar enhancement around 1580 MeV in the
$\pi^{+}\pi^-$ spectrum in the $J/\psi\to \pi^{0}\pi^{+}\pi^{-}$ channel, which
can be used to test whether X(1576) can be ascribed to the FSI effect of
$\rho(1450,1700)\to \rho^+\rho^-$.
","The dispersive contribution of $\rho(1450,1700)$ decays and X(1576)"
"  We present photometric, astrometric, and spectroscopic observations of
USco160611.9-193532 AB, a candidate ultrawide (~1600 AU), low-mass (M_tot~0.4
M_sun) multiple system in the nearby OB association Upper Scorpius. We conclude
that both components are young, comoving members of the association; we also
present high-resolution observations which show that the primary is itself a
close binary system. If the Aab and B components are gravitationally bound, the
system would fall into the small class of young multiple systems which have
unusually wide separations as compared to field systems of similar mass.
However, we demonstrate that physical association can not be assumed purely on
probabilistic grounds for any individual candidate system in this separation
range. Analysis of the association's two-point correlation function shows that
there is a significant probability (25%) that at least one pair of low-mass
association members will be separated in projection by <15"", so analysis of the
wide binary population in Upper Sco will require a systematic search for all
wide systems; the detection of another such pair would represent an excess at
the 98% confidence level.
",USco1606-1935: An Unusually Wide Low-Mass Triple System?
"  A system of one-dimensional Brownian motions (BMs) conditioned never to
collide with each other is realized as (i) Dyson's BM model, which is a process
of eigenvalues of hermitian matrix-valued diffusion process in the Gaussian
unitary ensemble (GUE), and as (ii) the $h$-transform of absorbing BM in a Weyl
chamber, where the harmonic function $h$ is the product of differences of
variables (the Vandermonde determinant). The Karlin-McGregor formula gives
determinantal expression to the transition probability density of absorbing BM.
We show from the Karlin-McGregor formula, if the initial state is in the
eigenvalue distribution of GUE, the noncolliding BM is a determinantal process,
in the sense that any multitime correlation function is given by a determinant
specified by a matrix-kernel. By taking appropriate scaling limits, spatially
homogeneous and inhomogeneous infinite determinantal processes are derived. We
note that the determinantal processes related with noncolliding particle
systems have a feature in common such that the matrix-kernels are expressed
using spectral projections of appropriate effective Hamiltonians. On the common
structure of matrix-kernels, continuity of processes in time is proved and
general property of the determinantal processes is discussed.
",Noncolliding Brownian Motion and Determinantal Processes
"  The Weyl-Wigner-Moyal formalism for Dirac second class constrained systems
has been proposed recently as the deformation quantization of Dirac bracket. In
this paper, after a brief review of this formalism, it is applied to the case
of the relativistic free particle. Within this context, the Stratonovich-Weyl
quantizer, Weyl correspondence, Moyal $\star$-product and Wigner function in
the constrained phase space are obtained. The recent Hamiltonian treatment for
constrained systems, whose constraints depend explicitly on time, are used to
perform the deformation quantization of the relativistic free charged particle
in an arbitrary electromagnetic background. Finally, the system consisting of a
charged particle interacting with a dynamical Maxwell field is quantized in
this context.
","Deformation Quantization of Relativistic Particles in Electromagnetic
  Fields"
"  Many barred galaxies show a set of symmetric enhancements at the ends of the
stellar bar, called {\it ansae}, or the ``handles'' of the bar. The ansa bars
have been in the literature for some decades, but their origin has still not
been specifically addressed, although, they could be related to the growth
process of bars. But even though ansae have been known for a long time, no
statistical analysis of their relative frequency of occurrence has been
performed yet. Similarly, there has been no study of the varieties in
morphology of ansae even though significant morphological variations are known
to characterise the features. In this paper, we make a quantitative analysis of
the occurrence of ansae in barred galaxies, making use of {\it The de
Vaucouleurs Atlas of Galaxies} by Buta and coworkers. We find that $\sim 40%$
of SB0's show ansae in their bars, thus confirming that ansae are common
features in barred lenticulars. The ansa frequency decreases dramatically with
later types, and hardly any ansae are found in galaxies of type Sb or later.
The bars in galaxies with ansae are stronger in the median than those in
galaxies without ansae, but the presence of inner and outer rings is not
related to the presence of ansae. Implications of these results and theories
for the possible origin of ansae are discussed briefly.
",A Morphological and Statistical Analysis of Ansae in Barred Galaxies
"  We describe the HST ACS Coma cluster Treasury survey, a deep two-passband
imaging survey of one of the nearest rich clusters of galaxies, the Coma
cluster (Abell 1656).
  The survey was designed to cover an area of 740 square arcmin in regions of
different density of both galaxies and intergalactic medium within the cluster.
The ACS failure of January 27th 2007 leaves the survey 28% complete, with 21
ACS pointings (230 square arcmin) complete, and partial data for a further 4
pointings (44 square arcmin).
  Predicted survey depth for 10 sigma detections for optimal photometry of
point sources is g' = 27.6 in the F475W filter, and IC=26.8 mag in F814 (AB
magnitudes). Initial simulations with artificially injected point sources show
90% recovered at magnitude limits of g' = 27.55 and IC = 26.65. For extended
sources, the predicted 10 sigma limits for a 1 square arcsecond region are g' =
25.8 mag/sq. arcsec and IC = 25.0 mag/sq. arcsec.
  We highlight several motivating science goals of the survey, including study
of the faint end of the cluster galaxy luminosity function, structural
parameters of dwarf galaxies, stellar populations and their effect on colors
and color gradients, evolution of morphological components in a dense
environment, the nature of ultra compact dwarf galaxies, and globular cluster
populations of cluster galaxies of a range of luminosities and types. This
survey will also provide a local rich cluster benchmark for various well known
global scaling relations and explore new relations pertaining to the nuclear
properties of galaxies.
",The HST/ACS Coma Cluster Survey: I - Survey Objectives and Design
"  The singular cochain complex of a topological space is a classical object. It
is a Differential Graded algebra which has been studied intensively with a
range of methods, not least within rational homotopy theory.
  More recently, the tools of Auslander-Reiten theory have also been applied to
the singular cochain complex. One of the highlights is that by these methods,
each Poincare duality space gives rise to a Calabi-Yau category. This paper is
a review of the theory.
",Calabi-Yau categories and Poincare duality spaces
"  We show that a semi-classical quantum field theory comes with a versal family
with the property that the corresponding partition function generates all path
integrals and satisfies a system of 2nd order differential equations determined
by algebras of classical observables. This versal family gives rise to a notion
of special coordinates that is analogous to that in string theories. We also
show that for a large class of semi-classical theories, their moduli space has
the structure of a Frobenius super-manifold.
",Semi-Classical Quantum Fields Theories and Frobenius Manifolds
"  We use a reverse Easton forcing iteration to obtain a universe with a
definable well-ordering, while preserving the GCH and proper classes of a
variety of very large cardinals. This is achieved by coding using the principle
diamond star at a proper class of successor cardinals.
",Large Cardinals and Definable Well-Orderings of the Universe
"  This is the first in a series of papers on the weak lensing effect caused by
clusters of galaxies in Sloan Digital Sky Survey. The photometrically selected
cluster sample, known as MaxBCG, includes ~130,000 objects between redshift 0.1
and 0.3, ranging in size from small groups to massive clusters. We split the
clusters into bins of richness and luminosity and stack the surface density
contrast to produce mean radial profiles. The mean profiles are detected over a
range of scales, from the inner halo (25 kpc/h) well into the surrounding large
scale structure (30 Mpc/h), with a significance of 15 to 20 in each bin. The
signal over this large range of scales is best interpreted in terms of the
cluster-mass cross-correlation function. We pay careful attention to sources of
systematic error, correcting for them where possible. The resulting signals are
calibrated to the ~10% level, with the dominant remaining uncertainty being the
redshift distribution of the background sources. We find that the profiles
scale strongly with richness and luminosity. We find the signal within a given
richness bin depends upon luminosity, suggesting that luminosity is more
closely correlated with mass than galaxy counts. We split the samples by
redshift but detect no significant evolution. The profiles are not well
described by power laws. In a subsequent series of papers we invert the
profiles to three-dimensional mass profiles, show that they are well fit by a
halo model description, measure mass-to-light ratios and provide a cosmological
interpretation.
",Cross-correlation Weak Lensing of SDSS Galaxy Clusters I: Measurements
"  We consider continuous, translation-commuting transformations of compact,
translation-invariant families of mappingsfrom finitely generated groups into
finite alphabets. It is well-known that such transformations and spaces can be
described ""locally"" via families of patterns and finitary functions; such
descriptions can be re-used on groups larger than the original, usually
defining non-isomorphic structures. We show how some of the properties of the
""induced"" entities can be deduced from those of the original ones, and vice
versa; then, we show how to ""simulate"" the smaller structure into the larger
one, and obtain a characterization in terms of group actions for the dynamical
systems admitting of presentations via structures as such. Special attention is
given to the class of sofic shifts.
","On the Induction Operation for Shift Subspaces and Cellular Automata as
  Presentations of Dynamical Systems"
"  We report the results of our first-principles investigation on the
interaction of the nucleobases adenine (A), cytosine (C), guanine (G), thymine
(T), and uracil (U) with graphene, carried out within the density functional
theory framework, with additional calculations utilizing Hartree--Fock plus
second-order Moeller-Plesset perturbation theory. The calculated binding energy
of the nucleobases shows the following hierarchy: G > T ~ C ~ A > U, with the
equilibrium configuration being very similar for all five of them. Our results
clearly demonstrate that the nucleobases exhibit significantly different
interaction strengths when physisorbed on graphene. The stabilizing factor in
the interaction between the base molecule and graphene sheet is dominated by
the molecular polarizability that allows a weakly attractive dispersion force
to be induced between them. The present study represents a significant step
towards a first-principles understanding of how the base sequence of DNA can
affect its interaction with carbon nanotubes, as observed experimentally.
",Physisorption of Nucleobases on Graphene
"  We discuss air shower simulations based on the EPOS hadronic interaction
model.
  A remarkable feature is the fact that the number of produced muons is
considerably larger compared to other interaction models. We show that this is
due to an improved treatment of baryon-antibaryon production.
",Extended Air Shower Simulations Based on EPOS
"  Let $K$ be a field and let $A$ be a finitely generated prime $K$-algebra. We
generalize a result of Smith and Zhang, showing that if $A$ is not PI and does
not have a locally nilpotent ideal, then the extended centre of $A$ has
transcendence degree at most ${\rm GKdim}(A)-2$ over $K$. As a consequence, we
are able to show that if $A$ is a prime $K$-algebra of quadratic growth, then
either the extended centre is a finite extension of K or $A$ is PI. Finally, we
give an example of a finitely generated non-PI prime $K$-algebra of GK
dimension 2 with a locally nilpotent ideal such that the extended centre has
infinite transcendence degree over $K$.
",Extended centres of finitely generated prime algebras
"  We point out that the entropy of (near) extremal black holes can be
interpreted as the entanglement entropy of dual conformal quantum mechanics via
AdS2/CFT1. As an explicit example, we study near extremal BTZ black holes and
derive this claim from AdS3/CFT2. We also analytically compute the entanglement
entropy in the two dimensional CFT of a free Dirac fermion compactified on a
circle at finite temperature. From this result, we clarify the relation between
the thermal entropy and entanglement entropy, which is essential for the
entanglement interpretation of black hole entropy.
",Near Extremal Black Hole Entropy as Entanglement Entropy via AdS2/CFT1
"  We have studied the effect of memory on evolution of the prisoner's dilemma
game using square lattice networks. Based on extensive simulations, we found
that the density of cooperators was enhanced by an increasing memory effect for
most parameters. However, we also observed that the density of cooperators
decreased with an increased memory effect in the case of a large memory and
moderate temptation. It is interesting to note that memory makes cooperators
immune from temptation. The strength of protection reaches its maximal value
only for the moderate memory effect.
",Effect of memory on the prisoner's dilemma game in a square lattice
"  We theoretically propose to directly observe the chiral nature of charge
carriers in graphene mono- and bilayers within a controlled scattering
experiment. The charge located on a capacitively coupled scanning probe
microscope (SPM) tip acts as a scattering center with controllable position on
the graphene sheet. Unambiguous features from the chirality of the particles in
single and bilayer graphene arise in the ballistic transport in the presence of
such a scattering center. To theoretically model the scattering from the smooth
potential created by the SPM tip, we develop the scattering formalism within
first-order Born approximation. We calculate the current through a device with
an SPM tip between two constrictions (quantum point contacts) as a function of
the tip position.
","Signature of chirality in scanning-probe imaging of charge flow in
  graphene"
"  We prove a resolvent estimate for the Laplace-Beltrami operator on a
scattering manifold with a hyperbolic trapped set, and as a corollary deduce
local smoothing. We use a result of Nonnenmacher-Zworski to provide an estimate
near the trapped region, a result of Burq and Cardoso-Vodev to provide an
estimate near infinity, and the microlocal calculus on scattering manifolds to
combine the two.
",Local smoothing for scattering manifolds with hyperbolic trapped sets
"  Preliminary results from an optical-fiber gravitational wave interferometric
detector are reported. The detector is very small, cheap and simple to build
and operate. It is assembled from readily available opto-electronic components.
A parts list is given. The detector can operate in two modes: one in which only
instrument noise is detected, and data from a 24 hour period is reported for
this mode, and in a 2nd mode in which the gravitational waves are detected as
well, and data from a 24 hour period is analysed. Comparison shows that the
instrument has a high S/N ratio. The frequency spectrum of the gravitational
waves shows a pink noise spectrum, from 0 to 0.1Hz.
","Optical-Fiber Gravitational Wave Detector: Dynamical 3-Space Turbulence
  Detected"
"  Bliss schemes of a run length limited (RLL) codec in combination with an LDPC
codec, generate LDPC parity bits over a systematic sequence of RLL channel bits
that are inherently redundant as they satisfy e.g. a $d=1$ minimum run length
constraint. That is the subsequences consisting of runs of length $d=1$, viz.
$...010...$ and $...101...$, cannot occur. We propose to use this redundancy
during LDPC decoding in a Bliss scheme by introducing additional $d$-constraint
nodes in the factor graph used by the LDPC decoder. The messages sent from
these new nodes to the variable or codeword bit nodes exert a ``force'' on the
resulting soft-bit vector coming out of the LDPC decoding that give it a
tendency to comply with the $d$-constraints. This way, we can significantly
reduce the probability of decoding error.
",Use of a $d$-Constraint During LDPC Decoding in a Bliss Scheme
"  Forest-fire waiting times, defined as the time between successive events
above a certain size in a given region, are calculated for Italy. The
probability densities of the waiting times are found to verify a scaling law,
despite that fact that the distribution of fire sizes is not a power law. The
meaning of such behavior in terms of the possible self-similarity of the
process in a nonstationary system is discussed. We find that the scaling law
arises as a consequence of the stationarity of fire sizes and the existence of
a non-trivial ``instantaneous'' scaling law, sustained by the correlations of
the process.
",Scaling and correlations in the dynamics of forest-fire occurrence
